Frame,ImgName,ID,x,y,z,rvec[0],rvec[1],rvec[2],tvec[0],tvec[1],tvec[2],error,
0,1166.tiff,15,0.163132,-0.087323,0.88807,-2.092,2.10175,0.637904,0.163132,-0.087323,0.88807,0.087412
0,1166.tiff,17,0.157103,0.117957,0.895714,-2.15899,2.2455,0.251303,0.157103,0.117957,0.895714,0.123955
0,1166.tiff,18,-0.052259,0.104976,0.902533,2.23632,-2.09113,0.501038,-0.052259,0.104976,0.902533,0.0189495
0,1166.tiff,19,-0.238992,-0.110789,0.928281,2.16839,-2.0701,-0.162462,-0.238992,-0.110789,0.928281,0.0149421
0,1166.tiff,77,-0.359946,0.0933198,0.941736,2.23869,-2.0818,-0.108707,-0.359946,0.0933198,0.941736,0.0278483
1,1283.tiff,13,-0.279336,0.076928,0.992356,-2.03362,2.1141,-0.163022,-0.279336,0.076928,0.992356,0.0985803
1,1283.tiff,16,0.137886,0.0844339,0.938438,-2.187,-2.20029,0.375195,0.137886,0.0844339,0.938438,0.128828
1,1283.tiff,17,0.15741,-0.121097,0.945537,-2.03834,2.15464,0.643537,0.15741,-0.121097,0.945537,0.133964
1,1283.tiff,18,-0.053693,-0.130871,0.957552,-2.23265,2.13196,-0.117126,-0.053693,-0.130871,0.957552,0.104594
1,1283.tiff,77,-0.36421,-0.144481,0.994328,-1.69775,1.59763,-0.457429,-0.36421,-0.144481,0.994328,0.0856618
2,370.tiff,11,0.151049,0.0440943,0.924426,2.16428,-2.18888,-0.343706,0.151049,0.0440943,0.924426,0.0797833
2,370.tiff,12,0.151063,0.0191204,0.92499,2.13569,-2.12173,0.00927047,0.151063,0.0191204,0.92499,0.0322583
2,370.tiff,15,-0.256541,-0.0841019,0.982304,2.1552,-2.14521,0.144791,-0.256541,-0.0841019,0.982304,0.0804453
2,370.tiff,17,-0.263878,0.123348,0.972792,-2.17103,2.25585,-0.13828,-0.263878,0.123348,0.972792,0.0817381
3,515.tiff,11,0.148468,-0.126065,0.938677,-2.07732,2.10957,0.66691,0.148468,-0.126065,0.938677,0.0566926
3,515.tiff,12,0.148755,-0.151078,0.940032,-2.08364,2.11281,0.666075,0.148755,-0.151078,0.940032,0.0847257
3,515.tiff,16,-0.276868,0.150335,0.966583,2.22783,2.2144,-0.0492317,-0.276868,0.150335,0.966583,0.0622082
3,515.tiff,17,-0.265504,-0.0529117,0.992669,-2.14112,2.25025,-0.134361,-0.265504,-0.0529117,0.992669,0.0710388
